,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
77,0 days 01:17:26.267000,26.9,37.0,1017.7,False,44.8,65,0.9
79,0 days 01:19:26.257000,26.8,38.0,1017.6,False,44.3,99,0.8
81,0 days 01:21:26.254000,27.0,36.0,1017.6,False,44.7,95,1.4
83,0 days 01:23:26.256000,26.5,37.0,1017.6,False,44.1,60,2.3
84,0 days 01:24:26.260000,26.5,36.0,1017.7,False,44.1,193,1.3
86,0 days 01:26:26.258000,26.5,36.0,1017.5,False,44.0,44,1.4
88,0 days 01:28:26.261000,26.3,37.0,1017.7,False,43.8,89,1.2
90,0 days 01:30:26.285000,26.4,36.0,1017.6,False,43.9,0,1.9
92,0 days 01:32:26.355000,26.6,36.0,1017.6,False,44.1,6,0.9
94,0 days 01:34:26.320000,27.1,35.0,1017.5,False,44.4,78,1.9
95,0 days 01:35:26.316000,26.9,36.0,1017.6,False,43.2,37,1.3
97,0 days 01:37:26.334000,27.0,37.0,1017.6,False,44.2,110,1.5
99,0 days 01:39:26.347000,26.7,36.0,1017.6,False,43.6,267,2.6
101,0 days 01:41:26.385000,26.2,38.0,1017.6,False,42.8,98,2.6
103,0 days 01:43:26.400000,26.3,38.0,1017.6,False,43.3,30,2.9
104,0 days 01:44:26.397000,26.2,38.0,1017.6,False,43.1,245,1.0
106,0 days 01:46:26.402000,26.7,38.0,1017.6,False,43.3,238,0.5
108,0 days 01:48:26.400000,27.1,37.0,1017.6,False,43.5,65,1.7
110,0 days 01:50:26.425000,26.9,36.0,1017.6,False,42.6,352,1.5
112,0 days 01:52:26.450000,26.6,36.0,1017.6,False,42.6,216,1.9
113,0 days 01:53:26.465000,26.7,36.0,1017.6,False,42.6,51,1.2
115,0 days 01:55:26.488000,26.5,37.0,1017.6,False,42.4,148,1.5
117,0 days 01:57:26.484000,26.6,37.0,1017.6,False,42.8,89,1.4
119,0 days 01:59:26.487000,26.9,36.0,1017.7,False,43.1,243,1.0
121,0 days 02:01:26.489000,26.5,38.0,1017.7,False,42.6,103,1.6
122,0 days 02:02:26.486000,26.5,36.0,1017.6,False,42.6,83,2.6
124,0 days 02:04:26.492000,26.4,35.0,1017.6,False,42.7,19,1.8
126,0 days 02:06:26.490000,26.3,36.0,1017.6,False,42.1,106,2.8
128,0 days 02:08:26.491000,25.8,38.0,1017.6,False,41.8,102,2.7
130,0 days 02:10:26.495000,25.7,38.0,1017.6,False,41.6,98,2.8
132,0 days 02:12:26.494000,25.8,37.0,1017.8,False,41.3,0,3.6
133,0 days 02:13:26.524000,25.7,38.0,1017.5,False,41.3,106,1.7
135,0 days 02:15:26.497000,25.8,38.0,1017.7,False,41.4,88,2.1
137,0 days 02:17:26.501000,25.9,35.0,1017.6,False,41.6,94,2.4
139,0 days 02:19:26.502000,25.9,32.0,1017.6,False,41.6,288,0.9
141,0 days 02:21:26.503000,26.4,33.0,1017.7,False,42.0,62,0.7
142,0 days 02:22:26.501000,26.6,33.0,1017.7,False,41.5,76,0.6
144,0 days 02:24:26.505000,26.5,35.0,1017.7,False,41.3,15,1.0
146,0 days 02:26:26.516000,26.6,36.0,1017.7,False,40.9,99,1.5
148,0 days 02:28:26.514000,26.5,37.0,1017.7,False,40.8,77,2.0
56,0 days 00:56:26.190000,26.8,41.0,1017.7,False,45.3,204,1.4
58,0 days 00:58:26.194000,26.8,41.0,1017.6,False,45.6,249,2.0
60,0 days 01:00:26.198000,26.7,40.0,1017.4,False,45.7,0,2.4
62,0 days 01:02:26.194000,26.8,38.0,1017.7,False,45.4,76,2.4
64,0 days 01:04:26.205000,26.6,38.0,1017.6,False,44.5,66,2.8
66,0 days 01:06:26.198000,26.3,40.0,1017.7,False,45.0,118,0.8
68,0 days 01:08:26.199000,26.3,39.0,1017.6,False,44.6,130,2.3
69,0 days 01:09:26.209000,26.2,40.0,1017.6,False,44.7,0,1.8
71,0 days 01:11:26.210000,26.2,40.0,1017.6,False,44.4,40,1.6
73,0 days 01:13:26.222000,26.7,38.0,1017.7,False,44.8,76,1.5
75,0 days 01:15:26.262000,26.7,37.0,1017.7,False,44.7,67,0.8
77,0 days 01:17:26.267000,26.9,37.0,1017.7,False,44.8,65,0.9
79,0 days 01:19:26.257000,26.8,38.0,1017.6,False,44.3,99,0.8
80,0 days 01:20:26.256000,27.0,37.0,1017.6,False,44.7,43,0.9
82,0 days 01:22:26.258000,26.8,37.0,1017.6,False,44.1,137,2.9
84,0 days 01:24:26.260000,26.5,36.0,1017.7,False,44.1,193,1.3
86,0 days 01:26:26.258000,26.5,36.0,1017.5,False,44.0,44,1.4
88,0 days 01:28:26.261000,26.3,37.0,1017.7,False,43.8,89,1.2
90,0 days 01:30:26.285000,26.4,36.0,1017.6,False,43.9,0,1.9
92,0 days 01:32:26.355000,26.6,36.0,1017.6,False,44.1,6,0.9
94,0 days 01:34:26.320000,27.1,35.0,1017.5,False,44.4,78,1.9
95,0 days 01:35:26.316000,26.9,36.0,1017.6,False,43.2,37,1.3
97,0 days 01:37:26.334000,27.0,37.0,1017.6,False,44.2,110,1.5
99,0 days 01:39:26.347000,26.7,36.0,1017.6,False,43.6,267,2.6
101,0 days 01:41:26.385000,26.2,38.0,1017.6,False,42.8,98,2.6
103,0 days 01:43:26.400000,26.3,38.0,1017.6,False,43.3,30,2.9
104,0 days 01:44:26.397000,26.2,38.0,1017.6,False,43.1,245,1.0
106,0 days 01:46:26.402000,26.7,38.0,1017.6,False,43.3,238,0.5
108,0 days 01:48:26.400000,27.1,37.0,1017.6,False,43.5,65,1.7
110,0 days 01:50:26.425000,26.9,36.0,1017.6,False,42.6,352,1.5
112,0 days 01:52:26.450000,26.6,36.0,1017.6,False,42.6,216,1.9
113,0 days 01:53:26.465000,26.7,36.0,1017.6,False,42.6,51,1.2
115,0 days 01:55:26.488000,26.5,37.0,1017.6,False,42.4,148,1.5
117,0 days 01:57:26.484000,26.6,37.0,1017.6,False,42.8,89,1.4
119,0 days 01:59:26.487000,26.9,36.0,1017.7,False,43.1,243,1.0
121,0 days 02:01:26.489000,26.5,38.0,1017.7,False,42.6,103,1.6
122,0 days 02:02:26.486000,26.5,36.0,1017.6,False,42.6,83,2.6
124,0 days 02:04:26.492000,26.4,35.0,1017.6,False,42.7,19,1.8
126,0 days 02:06:26.490000,26.3,36.0,1017.6,False,42.1,106,2.8
128,0 days 02:08:26.491000,25.8,38.0,1017.6,False,41.8,102,2.7
130,0 days 02:10:26.495000,25.7,38.0,1017.6,False,41.6,98,2.8
132,0 days 02:12:26.494000,25.8,37.0,1017.8,False,41.3,0,3.6
133,0 days 02:13:26.524000,25.7,38.0,1017.5,False,41.3,106,1.7
135,0 days 02:15:26.497000,25.8,38.0,1017.7,False,41.4,88,2.1
137,0 days 02:17:26.501000,25.9,35.0,1017.6,False,41.6,94,2.4
139,0 days 02:19:26.502000,25.9,32.0,1017.6,False,41.6,288,0.9
141,0 days 02:21:26.503000,26.4,33.0,1017.7,False,42.0,62,0.7
142,0 days 02:22:26.501000,26.6,33.0,1017.7,False,41.5,76,0.6
144,0 days 02:24:26.505000,26.5,35.0,1017.7,False,41.3,15,1.0
146,0 days 02:26:26.516000,26.6,36.0,1017.7,False,40.9,99,1.5
148,0 days 02:28:26.514000,26.5,37.0,1017.7,False,40.8,77,2.0
56,0 days 00:56:26.190000,26.8,41.0,1017.7,False,45.3,204,1.4
58,0 days 00:58:26.194000,26.8,41.0,1017.6,False,45.6,249,2.0
60,0 days 01:00:26.198000,26.7,40.0,1017.4,False,45.7,0,2.4
62,0 days 01:02:26.194000,26.8,38.0,1017.7,False,45.4,76,2.4
64,0 days 01:04:26.205000,26.6,38.0,1017.6,False,44.5,66,2.8
66,0 days 01:06:26.198000,26.3,40.0,1017.7,False,45.0,118,0.8
67,0 days 01:07:26.203000,26.5,39.0,1017.7,False,44.9,82,2.4
69,0 days 01:09:26.209000,26.2,40.0,1017.6,False,44.7,0,1.8
71,0 days 01:11:26.210000,26.2,40.0,1017.6,False,44.4,40,1.6
73,0 days 01:13:26.222000,26.7,38.0,1017.7,False,44.8,76,1.5
75,0 days 01:15:26.262000,26.7,37.0,1017.7,False,44.7,67,0.8
76,0 days 01:16:26.256000,26.8,36.0,1017.8,False,44.7,59,1.1
78,0 days 01:18:26.252000,26.9,38.0,1017.7,False,44.8,72,2.2
80,0 days 01:20:26.256000,27.0,37.0,1017.6,False,44.7,43,0.9
82,0 days 01:22:26.258000,26.8,37.0,1017.6,False,44.1,137,2.9
84,0 days 01:24:26.260000,26.5,36.0,1017.7,False,44.1,193,1.3
85,0 days 01:25:26.258000,26.5,36.0,1017.6,False,44.0,291,1.5
87,0 days 01:27:26.262000,26.5,36.0,1017.6,False,43.8,146,1.2
89,0 days 01:29:26.279000,26.4,36.0,1017.6,False,44.0,194,1.7
91,0 days 01:31:26.287000,26.5,36.0,1017.6,False,43.9,266,1.2
93,0 days 01:33:26.328000,26.9,34.0,1017.6,False,44.4,248,1.1
95,0 days 01:35:26.316000,26.9,36.0,1017.6,False,43.2,37,1.3
97,0 days 01:37:26.334000,27.0,37.0,1017.6,False,44.2,110,1.5
98,0 days 01:38:26.356000,26.9,36.0,1017.7,False,44.1,107,2.5
100,0 days 01:40:26.367000,26.5,37.0,1017.6,False,43.6,134,2.5
102,0 days 01:42:26.396000,26.2,39.0,1017.6,False,43.3,84,1.6
104,0 days 01:44:26.397000,26.2,38.0,1017.6,False,43.1,245,1.0
106,0 days 01:46:26.402000,26.7,38.0,1017.6,False,43.3,238,0.5
107,0 days 01:47:26.405000,26.8,38.0,1017.6,False,43.3,236,0.7
109,0 days 01:49:26.422000,27.0,37.0,1017.7,False,43.1,223,1.4
111,0 days 01:51:26.432000,26.7,36.0,1017.7,False,43.2,330,1.3
113,0 days 01:53:26.465000,26.7,36.0,1017.6,False,42.6,51,1.2
115,0 days 01:55:26.488000,26.5,37.0,1017.6,False,42.4,148,1.5
116,0 days 01:56:26.483000,26.5,37.0,1017.7,False,42.8,76,1.7
118,0 days 01:58:26.487000,26.8,36.0,1017.6,False,43.0,193,1.6
120,0 days 02:00:26.487000,26.9,36.0,1017.6,False,42.6,214,2.7
122,0 days 02:02:26.486000,26.5,36.0,1017.6,False,42.6,83,2.6
124,0 days 02:04:26.492000,26.4,35.0,1017.6,False,42.7,19,1.8
125,0 days 02:05:26.489000,26.4,36.0,1017.7,False,42.3,95,1.6
127,0 days 02:07:26.490000,26.0,38.0,1017.8,False,41.8,74,3.1
129,0 days 02:09:26.493000,25.7,38.0,1017.6,False,41.6,94,3.8
131,0 days 02:11:26.504000,25.7,36.0,1017.7,False,41.8,93,2.2
132,0 days 02:12:26.494000,25.8,37.0,1017.8,False,41.3,0,3.6
134,0 days 02:14:26.498000,25.8,38.0,1017.6,False,41.4,70,2.8
136,0 days 02:16:26.499000,25.8,38.0,1017.7,False,41.7,90,2.0
138,0 days 02:18:26.498000,25.9,34.0,1017.6,False,41.6,208,1.3
140,0 days 02:20:26.499000,26.0,33.0,1017.7,False,42.0,16,1.1
141,0 days 02:21:26.503000,26.4,33.0,1017.7,False,42.0,62,0.7
143,0 days 02:23:26.512000,26.6,34.0,1017.7,False,41.3,218,0.8
144,0 days 02:24:26.505000,26.5,35.0,1017.7,False,41.3,15,1.0
56,0 days 00:56:26.190000,26.8,41.0,1017.7,False,45.3,204,1.4
58,0 days 00:58:26.194000,26.8,41.0,1017.6,False,45.6,249,2.0
60,0 days 01:00:26.198000,26.7,40.0,1017.4,False,45.7,0,2.4
62,0 days 01:02:26.194000,26.8,38.0,1017.7,False,45.4,76,2.4
64,0 days 01:04:26.205000,26.6,38.0,1017.6,False,44.5,66,2.8
66,0 days 01:06:26.198000,26.3,40.0,1017.7,False,45.0,118,0.8
67,0 days 01:07:26.203000,26.5,39.0,1017.7,False,44.9,82,2.4
69,0 days 01:09:26.209000,26.2,40.0,1017.6,False,44.7,0,1.8
71,0 days 01:11:26.210000,26.2,40.0,1017.6,False,44.4,40,1.6
73,0 days 01:13:26.222000,26.7,38.0,1017.7,False,44.8,76,1.5
75,0 days 01:15:26.262000,26.7,37.0,1017.7,False,44.7,67,0.8
76,0 days 01:16:26.256000,26.8,36.0,1017.8,False,44.7,59,1.1
78,0 days 01:18:26.252000,26.9,38.0,1017.7,False,44.8,72,2.2
80,0 days 01:20:26.256000,27.0,37.0,1017.6,False,44.7,43,0.9
82,0 days 01:22:26.258000,26.8,37.0,1017.6,False,44.1,137,2.9
84,0 days 01:24:26.260000,26.5,36.0,1017.7,False,44.1,193,1.3
86,0 days 01:26:26.258000,26.5,36.0,1017.5,False,44.0,44,1.4
88,0 days 01:28:26.261000,26.3,37.0,1017.7,False,43.8,89,1.2
90,0 days 01:30:26.285000,26.4,36.0,1017.6,False,43.9,0,1.9
91,0 days 01:31:26.287000,26.5,36.0,1017.6,False,43.9,266,1.2
93,0 days 01:33:26.328000,26.9,34.0,1017.6,False,44.4,248,1.1
95,0 days 01:35:26.316000,26.9,36.0,1017.6,False,43.2,37,1.3
97,0 days 01:37:26.334000,27.0,37.0,1017.6,False,44.2,110,1.5
99,0 days 01:39:26.347000,26.7,36.0,1017.6,False,43.6,267,2.6
100,0 days 01:40:26.367000,26.5,37.0,1017.6,False,43.6,134,2.5
102,0 days 01:42:26.396000,26.2,39.0,1017.6,False,43.3,84,1.6
104,0 days 01:44:26.397000,26.2,38.0,1017.6,False,43.1,245,1.0
106,0 days 01:46:26.402000,26.7,38.0,1017.6,False,43.3,238,0.5
108,0 days 01:48:26.400000,27.1,37.0,1017.6,False,43.5,65,1.7
109,0 days 01:49:26.422000,27.0,37.0,1017.7,False,43.1,223,1.4
111,0 days 01:51:26.432000,26.7,36.0,1017.7,False,43.2,330,1.3
113,0 days 01:53:26.465000,26.7,36.0,1017.6,False,42.6,51,1.2
115,0 days 01:55:26.488000,26.5,37.0,1017.6,False,42.4,148,1.5
117,0 days 01:57:26.484000,26.6,37.0,1017.6,False,42.8,89,1.4
118,0 days 01:58:26.487000,26.8,36.0,1017.6,False,43.0,193,1.6
120,0 days 02:00:26.487000,26.9,36.0,1017.6,False,42.6,214,2.7
122,0 days 02:02:26.486000,26.5,36.0,1017.6,False,42.6,83,2.6
124,0 days 02:04:26.492000,26.4,35.0,1017.6,False,42.7,19,1.8
126,0 days 02:06:26.490000,26.3,36.0,1017.6,False,42.1,106,2.8
127,0 days 02:07:26.490000,26.0,38.0,1017.8,False,41.8,74,3.1
129,0 days 02:09:26.493000,25.7,38.0,1017.6,False,41.6,94,3.8
131,0 days 02:11:26.504000,25.7,36.0,1017.7,False,41.8,93,2.2
133,0 days 02:13:26.524000,25.7,38.0,1017.5,False,41.3,106,1.7
135,0 days 02:15:26.497000,25.8,38.0,1017.7,False,41.4,88,2.1
136,0 days 02:16:26.499000,25.8,38.0,1017.7,False,41.7,90,2.0
138,0 days 02:18:26.498000,25.9,34.0,1017.6,False,41.6,208,1.3
140,0 days 02:20:26.499000,26.0,33.0,1017.7,False,42.0,16,1.1
142,0 days 02:22:26.501000,26.6,33.0,1017.7,False,41.5,76,0.6
143,0 days 02:23:26.512000,26.6,34.0,1017.7,False,41.3,218,0.8
145,0 days 02:25:26.519000,26.6,36.0,1017.7,False,41.3,66,1.1
147,0 days 02:27:26.504000,26.5,37.0,1017.7,False,40.8,117,0.9
56,0 days 00:56:26.190000,26.8,41.0,1017.7,False,45.3,204,1.4
58,0 days 00:58:26.194000,26.8,41.0,1017.6,False,45.6,249,2.0
60,0 days 01:00:26.198000,26.7,40.0,1017.4,False,45.7,0,2.4
62,0 days 01:02:26.194000,26.8,38.0,1017.7,False,45.4,76,2.4
64,0 days 01:04:26.205000,26.6,38.0,1017.6,False,44.5,66,2.8
66,0 days 01:06:26.198000,26.3,40.0,1017.7,False,45.0,118,0.8
68,0 days 01:08:26.199000,26.3,39.0,1017.6,False,44.6,130,2.3
70,0 days 01:10:26.218000,26.3,40.0,1017.7,False,44.7,97,0.9
71,0 days 01:11:26.210000,26.2,40.0,1017.6,False,44.4,40,1.6
73,0 days 01:13:26.222000,26.7,38.0,1017.7,False,44.8,76,1.5
75,0 days 01:15:26.262000,26.7,37.0,1017.7,False,44.7,67,0.8
77,0 days 01:17:26.267000,26.9,37.0,1017.7,False,44.8,65,0.9
79,0 days 01:19:26.257000,26.8,38.0,1017.6,False,44.3,99,0.8
81,0 days 01:21:26.254000,27.0,36.0,1017.6,False,44.7,95,1.4
83,0 days 01:23:26.256000,26.5,37.0,1017.6,False,44.1,60,2.3
85,0 days 01:25:26.258000,26.5,36.0,1017.6,False,44.0,291,1.5
87,0 days 01:27:26.262000,26.5,36.0,1017.6,False,43.8,146,1.2
88,0 days 01:28:26.261000,26.3,37.0,1017.7,False,43.8,89,1.2
90,0 days 01:30:26.285000,26.4,36.0,1017.6,False,43.9,0,1.9
92,0 days 01:32:26.355000,26.6,36.0,1017.6,False,44.1,6,0.9
94,0 days 01:34:26.320000,27.1,35.0,1017.5,False,44.4,78,1.9
96,0 days 01:36:26.359000,27.0,36.0,1017.6,False,43.4,75,1.7
98,0 days 01:38:26.356000,26.9,36.0,1017.7,False,44.1,107,2.5
99,0 days 01:39:26.347000,26.7,36.0,1017.6,False,43.6,267,2.6
101,0 days 01:41:26.385000,26.2,38.0,1017.6,False,42.8,98,2.6
103,0 days 01:43:26.400000,26.3,38.0,1017.6,False,43.3,30,2.9
105,0 days 01:45:26.397000,26.5,38.0,1017.7,False,43.3,0,0.7
107,0 days 01:47:26.405000,26.8,38.0,1017.6,False,43.3,236,0.7
109,0 days 01:49:26.422000,27.0,37.0,1017.7,False,43.1,223,1.4
110,0 days 01:50:26.425000,26.9,36.0,1017.6,False,42.6,352,1.5
112,0 days 01:52:26.450000,26.6,36.0,1017.6,False,42.6,216,1.9
114,0 days 01:54:26.487000,26.5,37.0,1017.6,False,42.4,116,1.0
116,0 days 01:56:26.483000,26.5,37.0,1017.7,False,42.8,76,1.7
118,0 days 01:58:26.487000,26.8,36.0,1017.6,False,43.0,193,1.6
120,0 days 02:00:26.487000,26.9,36.0,1017.6,False,42.6,214,2.7
121,0 days 02:01:26.489000,26.5,38.0,1017.7,False,42.6,103,1.6
123,0 days 02:03:26.488000,26.4,35.0,1017.7,False,42.7,55,1.5
125,0 days 02:05:26.489000,26.4,36.0,1017.7,False,42.3,95,1.6
127,0 days 02:07:26.490000,26.0,38.0,1017.8,False,41.8,74,3.1
129,0 days 02:09:26.493000,25.7,38.0,1017.6,False,41.6,94,3.8
130,0 days 02:10:26.495000,25.7,38.0,1017.6,False,41.6,98,2.8
132,0 days 02:12:26.494000,25.8,37.0,1017.8,False,41.3,0,3.6
134,0 days 02:14:26.498000,25.8,38.0,1017.6,False,41.4,70,2.8
136,0 days 02:16:26.499000,25.8,38.0,1017.7,False,41.7,90,2.0
138,0 days 02:18:26.498000,25.9,34.0,1017.6,False,41.6,208,1.3
139,0 days 02:19:26.502000,25.9,32.0,1017.6,False,41.6,288,0.9
141,0 days 02:21:26.503000,26.4,33.0,1017.7,False,42.0,62,0.7
143,0 days 02:23:26.512000,26.6,34.0,1017.7,False,41.3,218,0.8
145,0 days 02:25:26.519000,26.6,36.0,1017.7,False,41.3,66,1.1
147,0 days 02:27:26.504000,26.5,37.0,1017.7,False,40.8,117,0.9
56,0 days 00:56:26.190000,26.8,41.0,1017.7,False,45.3,204,1.4
58,0 days 00:58:26.194000,26.8,41.0,1017.6,False,45.6,249,2.0
60,0 days 01:00:26.198000,26.7,40.0,1017.4,False,45.7,0,2.4
62,0 days 01:02:26.194000,26.8,38.0,1017.7,False,45.4,76,2.4
64,0 days 01:04:26.205000,26.6,38.0,1017.6,False,44.5,66,2.8
65,0 days 01:05:26.257000,26.4,39.0,1017.6,False,44.5,87,1.7
67,0 days 01:07:26.203000,26.5,39.0,1017.7,False,44.9,82,2.4
69,0 days 01:09:26.209000,26.2,40.0,1017.6,False,44.7,0,1.8
71,0 days 01:11:26.210000,26.2,40.0,1017.6,False,44.4,40,1.6
73,0 days 01:13:26.222000,26.7,38.0,1017.7,False,44.8,76,1.5
74,0 days 01:14:26.295000,26.8,37.0,1017.6,False,44.7,61,2.2
76,0 days 01:16:26.256000,26.8,36.0,1017.8,False,44.7,59,1.1
78,0 days 01:18:26.252000,26.9,38.0,1017.7,False,44.8,72,2.2
80,0 days 01:20:26.256000,27.0,37.0,1017.6,False,44.7,43,0.9
82,0 days 01:22:26.258000,26.8,37.0,1017.6,False,44.1,137,2.9
84,0 days 01:24:26.260000,26.5,36.0,1017.7,False,44.1,193,1.3
86,0 days 01:26:26.258000,26.5,36.0,1017.5,False,44.0,44,1.4
88,0 days 01:28:26.261000,26.3,37.0,1017.7,False,43.8,89,1.2
89,0 days 01:29:26.279000,26.4,36.0,1017.6,False,44.0,194,1.7
91,0 days 01:31:26.287000,26.5,36.0,1017.6,False,43.9,266,1.2
93,0 days 01:33:26.328000,26.9,34.0,1017.6,False,44.4,248,1.1
95,0 days 01:35:26.316000,26.9,36.0,1017.6,False,43.2,37,1.3
96,0 days 01:36:26.359000,27.0,36.0,1017.6,False,43.4,75,1.7
98,0 days 01:38:26.356000,26.9,36.0,1017.7,False,44.1,107,2.5
100,0 days 01:40:26.367000,26.5,37.0,1017.6,False,43.6,134,2.5
102,0 days 01:42:26.396000,26.2,39.0,1017.6,False,43.3,84,1.6
104,0 days 01:44:26.397000,26.2,38.0,1017.6,False,43.1,245,1.0
105,0 days 01:45:26.397000,26.5,38.0,1017.7,False,43.3,0,0.7
107,0 days 01:47:26.405000,26.8,38.0,1017.6,False,43.3,236,0.7
109,0 days 01:49:26.422000,27.0,37.0,1017.7,False,43.1,223,1.4
111,0 days 01:51:26.432000,26.7,36.0,1017.7,False,43.2,330,1.3
113,0 days 01:53:26.465000,26.7,36.0,1017.6,False,42.6,51,1.2
114,0 days 01:54:26.487000,26.5,37.0,1017.6,False,42.4,116,1.0
116,0 days 01:56:26.483000,26.5,37.0,1017.7,False,42.8,76,1.7
118,0 days 01:58:26.487000,26.8,36.0,1017.6,False,43.0,193,1.6
120,0 days 02:00:26.487000,26.9,36.0,1017.6,False,42.6,214,2.7
122,0 days 02:02:26.486000,26.5,36.0,1017.6,False,42.6,83,2.6
123,0 days 02:03:26.488000,26.4,35.0,1017.7,False,42.7,55,1.5
125,0 days 02:05:26.489000,26.4,36.0,1017.7,False,42.3,95,1.6
127,0 days 02:07:26.490000,26.0,38.0,1017.8,False,41.8,74,3.1
129,0 days 02:09:26.493000,25.7,38.0,1017.6,False,41.6,94,3.8
131,0 days 02:11:26.504000,25.7,36.0,1017.7,False,41.8,93,2.2
132,0 days 02:12:26.494000,25.8,37.0,1017.8,False,41.3,0,3.6
134,0 days 02:14:26.498000,25.8,38.0,1017.6,False,41.4,70,2.8
136,0 days 02:16:26.499000,25.8,38.0,1017.7,False,41.7,90,2.0
138,0 days 02:18:26.498000,25.9,34.0,1017.6,False,41.6,208,1.3
140,0 days 02:20:26.499000,26.0,33.0,1017.7,False,42.0,16,1.1
141,0 days 02:21:26.503000,26.4,33.0,1017.7,False,42.0,62,0.7
143,0 days 02:23:26.512000,26.6,34.0,1017.7,False,41.3,218,0.8
145,0 days 02:25:26.519000,26.6,36.0,1017.7,False,41.3,66,1.1
147,0 days 02:27:26.504000,26.5,37.0,1017.7,False,40.8,117,0.9
