,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
150,0 days 02:30:14.302000,17.6,51.0,1017.5,False,21.9,115,0.4
151,0 days 02:31:14.307000,17.7,51.0,1017.5,False,22.0,96,0.0
60,0 days 01:00:14.115000,18.2,49.0,1017.2,False,23.8,58,1.5
62,0 days 01:02:14.121000,18.3,49.0,1017.0,False,23.8,33,1.1
64,0 days 01:04:14.121000,18.3,49.0,1017.0,False,23.8,32,1.0
65,0 days 01:05:14.127000,18.3,49.0,1017.0,False,23.7,24,0.9
67,0 days 01:07:14.127000,18.3,50.0,1017.1,False,23.5,40,1.5
69,0 days 01:09:14.126000,18.3,49.0,1017.1,False,23.5,0,0.6
70,0 days 01:10:14.127000,18.3,50.0,1017.1,False,23.5,13,0.5
72,0 days 01:12:14.127000,18.2,50.0,1017.2,False,23.7,126,1.1
73,0 days 01:13:14.142000,18.2,50.0,1017.2,False,23.5,98,0.4
75,0 days 01:15:14.132000,18.2,50.0,1017.2,False,23.5,330,0.5
77,0 days 01:17:14.141000,18.2,50.0,1017.2,False,23.4,155,0.6
78,0 days 01:18:14.133000,18.2,50.0,1017.2,False,23.5,157,0.5
80,0 days 01:20:14.140000,18.3,50.0,1017.2,False,23.5,42,0.4
82,0 days 01:22:14.142000,18.2,50.0,1017.2,False,23.3,0,0.5
84,0 days 01:24:14.131000,18.1,50.0,1017.2,False,23.3,179,0.0
85,0 days 01:25:14.135000,18.1,50.0,1017.2,False,23.2,236,0.4
87,0 days 01:27:14.137000,18.1,51.0,1017.1,False,23.4,178,0.7
88,0 days 01:28:14.122000,18.1,50.0,1017.2,False,23.4,20,0.4
90,0 days 01:30:14.138000,18.1,50.0,1017.1,False,23.3,71,0.5
92,0 days 01:32:14.141000,18.1,50.0,1017.1,False,23.2,27,0.7
93,0 days 01:33:14.145000,18.1,50.0,1017.2,False,23.1,65,0.5
95,0 days 01:35:14.144000,18.1,50.0,1017.2,False,23.2,37,0.5
97,0 days 01:37:14.151000,18.1,50.0,1017.1,False,23.0,338,0.8
98,0 days 01:38:14.153000,18.1,50.0,1017.2,False,23.0,25,0.3
100,0 days 01:40:14.148000,18.1,49.0,1017.1,False,23.0,47,0.7
101,0 days 01:41:14.154000,18.1,49.0,1017.2,False,22.9,46,0.7
103,0 days 01:43:14.147000,18.1,49.0,1017.2,False,22.9,246,0.7
105,0 days 01:45:14.166000,18.1,49.0,1017.3,False,22.8,55,0.6
106,0 days 01:46:14.151000,18.1,49.0,1017.2,False,22.8,0,0.8
108,0 days 01:48:14.196000,18.0,49.0,1017.2,False,22.7,28,0.7
109,0 days 01:49:14.206000,18.0,49.0,1017.3,False,22.6,96,0.8
111,0 days 01:51:14.211000,18.0,49.0,1017.2,False,22.7,30,0.6
113,0 days 01:53:14.241000,18.0,49.0,1017.3,False,22.7,28,0.7
114,0 days 01:54:14.250000,18.0,49.0,1017.3,False,22.7,27,0.7
116,0 days 01:56:14.267000,18.0,49.0,1017.4,False,22.7,328,0.6
118,0 days 01:58:14.274000,18.0,50.0,1017.4,False,22.6,41,0.7
119,0 days 01:59:14.291000,18.0,50.0,1017.5,False,22.6,13,0.9
121,0 days 02:01:14.291000,17.9,50.0,1017.4,False,22.6,66,0.4
123,0 days 02:03:14.291000,17.9,50.0,1017.5,False,22.4,142,0.6
124,0 days 02:04:14.293000,17.9,50.0,1017.4,False,22.4,50,1.0
126,0 days 02:06:14.286000,17.9,50.0,1017.4,False,22.3,81,0.7
127,0 days 02:07:14.293000,17.9,50.0,1017.4,False,22.4,0,0.4
129,0 days 02:09:14.283000,17.9,50.0,1017.4,False,22.2,10,0.5
131,0 days 02:11:14.294000,17.9,50.0,1017.4,False,22.2,1,0.4
132,0 days 02:12:14.323000,17.9,50.0,1017.5,False,22.1,0,0.0
134,0 days 02:14:14.301000,17.8,51.0,1017.5,False,22.0,270,0.0
135,0 days 02:15:14.294000,17.8,51.0,1017.5,False,22.0,140,0.3
137,0 days 02:17:14.300000,17.8,51.0,1017.4,False,21.9,0,0.6
138,0 days 02:18:14.299000,17.7,51.0,1017.5,False,22.0,356,0.0
140,0 days 02:20:14.303000,17.7,51.0,1017.4,False,21.9,148,0.5
142,0 days 02:22:14.301000,17.6,51.0,1017.5,False,22.0,340,0.4
143,0 days 02:23:14.293000,17.6,51.0,1017.5,False,22.0,138,0.4
145,0 days 02:25:14.302000,17.6,51.0,1017.5,False,21.9,254,0.4
146,0 days 02:26:14.302000,17.6,51.0,1017.5,False,21.9,330,0.0
148,0 days 02:28:14.305000,17.6,51.0,1017.5,False,21.9,0,0.3
150,0 days 02:30:14.302000,17.6,51.0,1017.5,False,21.9,115,0.4
151,0 days 02:31:14.307000,17.7,51.0,1017.5,False,22.0,96,0.0
60,0 days 01:00:14.115000,18.2,49.0,1017.2,False,23.8,58,1.5
62,0 days 01:02:14.121000,18.3,49.0,1017.0,False,23.8,33,1.1
64,0 days 01:04:14.121000,18.3,49.0,1017.0,False,23.8,32,1.0
65,0 days 01:05:14.127000,18.3,49.0,1017.0,False,23.7,24,0.9
67,0 days 01:07:14.127000,18.3,50.0,1017.1,False,23.5,40,1.5
69,0 days 01:09:14.126000,18.3,49.0,1017.1,False,23.5,0,0.6
70,0 days 01:10:14.127000,18.3,50.0,1017.1,False,23.5,13,0.5
72,0 days 01:12:14.127000,18.2,50.0,1017.2,False,23.7,126,1.1
73,0 days 01:13:14.142000,18.2,50.0,1017.2,False,23.5,98,0.4
75,0 days 01:15:14.132000,18.2,50.0,1017.2,False,23.5,330,0.5
77,0 days 01:17:14.141000,18.2,50.0,1017.2,False,23.4,155,0.6
78,0 days 01:18:14.133000,18.2,50.0,1017.2,False,23.5,157,0.5
80,0 days 01:20:14.140000,18.3,50.0,1017.2,False,23.5,42,0.4
82,0 days 01:22:14.142000,18.2,50.0,1017.2,False,23.3,0,0.5
84,0 days 01:24:14.131000,18.1,50.0,1017.2,False,23.3,179,0.0
85,0 days 01:25:14.135000,18.1,50.0,1017.2,False,23.2,236,0.4
87,0 days 01:27:14.137000,18.1,51.0,1017.1,False,23.4,178,0.7
88,0 days 01:28:14.122000,18.1,50.0,1017.2,False,23.4,20,0.4
90,0 days 01:30:14.138000,18.1,50.0,1017.1,False,23.3,71,0.5
92,0 days 01:32:14.141000,18.1,50.0,1017.1,False,23.2,27,0.7
93,0 days 01:33:14.145000,18.1,50.0,1017.2,False,23.1,65,0.5
95,0 days 01:35:14.144000,18.1,50.0,1017.2,False,23.2,37,0.5
96,0 days 01:36:14.143000,18.1,50.0,1017.1,False,23.2,71,0.9
98,0 days 01:38:14.153000,18.1,50.0,1017.2,False,23.0,25,0.3
100,0 days 01:40:14.148000,18.1,49.0,1017.1,False,23.0,47,0.7
101,0 days 01:41:14.154000,18.1,49.0,1017.2,False,22.9,46,0.7
103,0 days 01:43:14.147000,18.1,49.0,1017.2,False,22.9,246,0.7
105,0 days 01:45:14.166000,18.1,49.0,1017.3,False,22.8,55,0.6
106,0 days 01:46:14.151000,18.1,49.0,1017.2,False,22.8,0,0.8
108,0 days 01:48:14.196000,18.0,49.0,1017.2,False,22.7,28,0.7
109,0 days 01:49:14.206000,18.0,49.0,1017.3,False,22.6,96,0.8
111,0 days 01:51:14.211000,18.0,49.0,1017.2,False,22.7,30,0.6
113,0 days 01:53:14.241000,18.0,49.0,1017.3,False,22.7,28,0.7
114,0 days 01:54:14.250000,18.0,49.0,1017.3,False,22.7,27,0.7
116,0 days 01:56:14.267000,18.0,49.0,1017.4,False,22.7,328,0.6
118,0 days 01:58:14.274000,18.0,50.0,1017.4,False,22.6,41,0.7
120,0 days 02:00:14.284000,17.9,50.0,1017.4,False,22.5,156,0.4
121,0 days 02:01:14.291000,17.9,50.0,1017.4,False,22.6,66,0.4
123,0 days 02:03:14.291000,17.9,50.0,1017.5,False,22.4,142,0.6
124,0 days 02:04:14.293000,17.9,50.0,1017.4,False,22.4,50,1.0
126,0 days 02:06:14.286000,17.9,50.0,1017.4,False,22.3,81,0.7
127,0 days 02:07:14.293000,17.9,50.0,1017.4,False,22.4,0,0.4
129,0 days 02:09:14.283000,17.9,50.0,1017.4,False,22.2,10,0.5
131,0 days 02:11:14.294000,17.9,50.0,1017.4,False,22.2,1,0.4
132,0 days 02:12:14.323000,17.9,50.0,1017.5,False,22.1,0,0.0
134,0 days 02:14:14.301000,17.8,51.0,1017.5,False,22.0,270,0.0
135,0 days 02:15:14.294000,17.8,51.0,1017.5,False,22.0,140,0.3
137,0 days 02:17:14.300000,17.8,51.0,1017.4,False,21.9,0,0.6
139,0 days 02:19:14.302000,17.7,51.0,1017.4,False,22.0,0,0.4
140,0 days 02:20:14.303000,17.7,51.0,1017.4,False,21.9,148,0.5
142,0 days 02:22:14.301000,17.6,51.0,1017.5,False,22.0,340,0.4
143,0 days 02:23:14.293000,17.6,51.0,1017.5,False,22.0,138,0.4
145,0 days 02:25:14.302000,17.6,51.0,1017.5,False,21.9,254,0.4
147,0 days 02:27:14.309000,17.6,51.0,1017.5,False,21.9,213,0.3
148,0 days 02:28:14.305000,17.6,51.0,1017.5,False,21.9,0,0.3
150,0 days 02:30:14.302000,17.6,51.0,1017.5,False,21.9,115,0.4
151,0 days 02:31:14.307000,17.7,51.0,1017.5,False,22.0,96,0.0
60,0 days 01:00:14.115000,18.2,49.0,1017.2,False,23.8,58,1.5
62,0 days 01:02:14.121000,18.3,49.0,1017.0,False,23.8,33,1.1
64,0 days 01:04:14.121000,18.3,49.0,1017.0,False,23.8,32,1.0
65,0 days 01:05:14.127000,18.3,49.0,1017.0,False,23.7,24,0.9
67,0 days 01:07:14.127000,18.3,50.0,1017.1,False,23.5,40,1.5
69,0 days 01:09:14.126000,18.3,49.0,1017.1,False,23.5,0,0.6
70,0 days 01:10:14.127000,18.3,50.0,1017.1,False,23.5,13,0.5
72,0 days 01:12:14.127000,18.2,50.0,1017.2,False,23.7,126,1.1
73,0 days 01:13:14.142000,18.2,50.0,1017.2,False,23.5,98,0.4
75,0 days 01:15:14.132000,18.2,50.0,1017.2,False,23.5,330,0.5
77,0 days 01:17:14.141000,18.2,50.0,1017.2,False,23.4,155,0.6
78,0 days 01:18:14.133000,18.2,50.0,1017.2,False,23.5,157,0.5
80,0 days 01:20:14.140000,18.3,50.0,1017.2,False,23.5,42,0.4
82,0 days 01:22:14.142000,18.2,50.0,1017.2,False,23.3,0,0.5
83,0 days 01:23:14.142000,18.1,50.0,1017.1,False,23.5,0,0.4
85,0 days 01:25:14.135000,18.1,50.0,1017.2,False,23.2,236,0.4
87,0 days 01:27:14.137000,18.1,51.0,1017.1,False,23.4,178,0.7
89,0 days 01:29:14.144000,18.1,50.0,1017.1,False,23.3,303,0.0
90,0 days 01:30:14.138000,18.1,50.0,1017.1,False,23.3,71,0.5
92,0 days 01:32:14.141000,18.1,50.0,1017.1,False,23.2,27,0.7
93,0 days 01:33:14.145000,18.1,50.0,1017.2,False,23.1,65,0.5
95,0 days 01:35:14.144000,18.1,50.0,1017.2,False,23.2,37,0.5
97,0 days 01:37:14.151000,18.1,50.0,1017.1,False,23.0,338,0.8
98,0 days 01:38:14.153000,18.1,50.0,1017.2,False,23.0,25,0.3
100,0 days 01:40:14.148000,18.1,49.0,1017.1,False,23.0,47,0.7
102,0 days 01:42:14.155000,18.1,49.0,1017.2,False,22.9,29,0.0
103,0 days 01:43:14.147000,18.1,49.0,1017.2,False,22.9,246,0.7
105,0 days 01:45:14.166000,18.1,49.0,1017.3,False,22.8,55,0.6
106,0 days 01:46:14.151000,18.1,49.0,1017.2,False,22.8,0,0.8
108,0 days 01:48:14.196000,18.0,49.0,1017.2,False,22.7,28,0.7
110,0 days 01:50:14.198000,18.0,49.0,1017.3,False,22.7,53,0.5
111,0 days 01:51:14.211000,18.0,49.0,1017.2,False,22.7,30,0.6
113,0 days 01:53:14.241000,18.0,49.0,1017.3,False,22.7,28,0.7
115,0 days 01:55:14.254000,17.9,49.0,1017.3,False,22.7,29,0.0
116,0 days 01:56:14.267000,18.0,49.0,1017.4,False,22.7,328,0.6
118,0 days 01:58:14.274000,18.0,50.0,1017.4,False,22.6,41,0.7
119,0 days 01:59:14.291000,18.0,50.0,1017.5,False,22.6,13,0.9
121,0 days 02:01:14.291000,17.9,50.0,1017.4,False,22.6,66,0.4
123,0 days 02:03:14.291000,17.9,50.0,1017.5,False,22.4,142,0.6
124,0 days 02:04:14.293000,17.9,50.0,1017.4,False,22.4,50,1.0
126,0 days 02:06:14.286000,17.9,50.0,1017.4,False,22.3,81,0.7
128,0 days 02:08:14.284000,17.9,50.0,1017.4,False,22.4,50,0.0
130,0 days 02:10:14.288000,17.9,50.0,1017.4,False,22.2,141,0.6
131,0 days 02:11:14.294000,17.9,50.0,1017.4,False,22.2,1,0.4
133,0 days 02:13:14.314000,17.8,51.0,1017.5,False,22.1,0,0.5
134,0 days 02:14:14.301000,17.8,51.0,1017.5,False,22.0,270,0.0
136,0 days 02:16:14.296000,17.8,51.0,1017.5,False,21.9,0,0.7
137,0 days 02:17:14.300000,17.8,51.0,1017.4,False,21.9,0,0.6
139,0 days 02:19:14.302000,17.7,51.0,1017.4,False,22.0,0,0.4
141,0 days 02:21:14.295000,17.7,51.0,1017.4,False,21.9,0,0.0
142,0 days 02:22:14.301000,17.6,51.0,1017.5,False,22.0,340,0.4
144,0 days 02:24:14.299000,17.6,51.0,1017.5,False,21.9,0,0.4
145,0 days 02:25:14.302000,17.6,51.0,1017.5,False,21.9,254,0.4
147,0 days 02:27:14.309000,17.6,51.0,1017.5,False,21.9,213,0.3
149,0 days 02:29:14.305000,17.6,51.0,1017.5,False,21.9,12,0.0
150,0 days 02:30:14.302000,17.6,51.0,1017.5,False,21.9,115,0.4
152,0 days 02:32:14.300000,17.6,51.0,1017.5,False,21.9,0,0.7
60,0 days 01:00:14.115000,18.2,49.0,1017.2,False,23.8,58,1.5
62,0 days 01:02:14.121000,18.3,49.0,1017.0,False,23.8,33,1.1
64,0 days 01:04:14.121000,18.3,49.0,1017.0,False,23.8,32,1.0
65,0 days 01:05:14.127000,18.3,49.0,1017.0,False,23.7,24,0.9
67,0 days 01:07:14.127000,18.3,50.0,1017.1,False,23.5,40,1.5
69,0 days 01:09:14.126000,18.3,49.0,1017.1,False,23.5,0,0.6
70,0 days 01:10:14.127000,18.3,50.0,1017.1,False,23.5,13,0.5
72,0 days 01:12:14.127000,18.2,50.0,1017.2,False,23.7,126,1.1
74,0 days 01:14:14.130000,18.2,50.0,1017.1,False,23.5,221,0.6
75,0 days 01:15:14.132000,18.2,50.0,1017.2,False,23.5,330,0.5
77,0 days 01:17:14.141000,18.2,50.0,1017.2,False,23.4,155,0.6
79,0 days 01:19:14.137000,18.3,50.0,1017.2,False,23.6,354,0.5
80,0 days 01:20:14.140000,18.3,50.0,1017.2,False,23.5,42,0.4
82,0 days 01:22:14.142000,18.2,50.0,1017.2,False,23.3,0,0.5
84,0 days 01:24:14.131000,18.1,50.0,1017.2,False,23.3,179,0.0
85,0 days 01:25:14.135000,18.1,50.0,1017.2,False,23.2,236,0.4
87,0 days 01:27:14.137000,18.1,51.0,1017.1,False,23.4,178,0.7
89,0 days 01:29:14.144000,18.1,50.0,1017.1,False,23.3,303,0.0
90,0 days 01:30:14.138000,18.1,50.0,1017.1,False,23.3,71,0.5
92,0 days 01:32:14.141000,18.1,50.0,1017.1,False,23.2,27,0.7
94,0 days 01:34:14.141000,18.1,50.0,1017.1,False,23.1,94,0.7
95,0 days 01:35:14.144000,18.1,50.0,1017.2,False,23.2,37,0.5
97,0 days 01:37:14.151000,18.1,50.0,1017.1,False,23.0,338,0.8
98,0 days 01:38:14.153000,18.1,50.0,1017.2,False,23.0,25,0.3
100,0 days 01:40:14.148000,18.1,49.0,1017.1,False,23.0,47,0.7
102,0 days 01:42:14.155000,18.1,49.0,1017.2,False,22.9,29,0.0
103,0 days 01:43:14.147000,18.1,49.0,1017.2,False,22.9,246,0.7
105,0 days 01:45:14.166000,18.1,49.0,1017.3,False,22.8,55,0.6
107,0 days 01:47:14.178000,18.0,49.0,1017.3,False,22.8,45,0.6
109,0 days 01:49:14.206000,18.0,49.0,1017.3,False,22.6,96,0.8
110,0 days 01:50:14.198000,18.0,49.0,1017.3,False,22.7,53,0.5
112,0 days 01:52:14.222000,18.0,49.0,1017.3,False,22.7,82,0.8
113,0 days 01:53:14.241000,18.0,49.0,1017.3,False,22.7,28,0.7
115,0 days 01:55:14.254000,17.9,49.0,1017.3,False,22.7,29,0.0
117,0 days 01:57:14.264000,18.0,49.0,1017.4,False,22.6,132,0.7
118,0 days 01:58:14.274000,18.0,50.0,1017.4,False,22.6,41,0.7
120,0 days 02:00:14.284000,17.9,50.0,1017.4,False,22.5,156,0.4
121,0 days 02:01:14.291000,17.9,50.0,1017.4,False,22.6,66,0.4
123,0 days 02:03:14.291000,17.9,50.0,1017.5,False,22.4,142,0.6
125,0 days 02:05:14.296000,17.9,50.0,1017.4,False,22.4,33,0.4
126,0 days 02:06:14.286000,17.9,50.0,1017.4,False,22.3,81,0.7
128,0 days 02:08:14.284000,17.9,50.0,1017.4,False,22.4,50,0.0
129,0 days 02:09:14.283000,17.9,50.0,1017.4,False,22.2,10,0.5
131,0 days 02:11:14.294000,17.9,50.0,1017.4,False,22.2,1,0.4
133,0 days 02:13:14.314000,17.8,51.0,1017.5,False,22.1,0,0.5
134,0 days 02:14:14.301000,17.8,51.0,1017.5,False,22.0,270,0.0
136,0 days 02:16:14.296000,17.8,51.0,1017.5,False,21.9,0,0.7
137,0 days 02:17:14.300000,17.8,51.0,1017.4,False,21.9,0,0.6
139,0 days 02:19:14.302000,17.7,51.0,1017.4,False,22.0,0,0.4
141,0 days 02:21:14.295000,17.7,51.0,1017.4,False,21.9,0,0.0
142,0 days 02:22:14.301000,17.6,51.0,1017.5,False,22.0,340,0.4
144,0 days 02:24:14.299000,17.6,51.0,1017.5,False,21.9,0,0.4
145,0 days 02:25:14.302000,17.6,51.0,1017.5,False,21.9,254,0.4
147,0 days 02:27:14.309000,17.6,51.0,1017.5,False,21.9,213,0.3
149,0 days 02:29:14.305000,17.6,51.0,1017.5,False,21.9,12,0.0
150,0 days 02:30:14.302000,17.6,51.0,1017.5,False,21.9,115,0.4
152,0 days 02:32:14.300000,17.6,51.0,1017.5,False,21.9,0,0.7
60,0 days 01:00:14.115000,18.2,49.0,1017.2,False,23.8,58,1.5
62,0 days 01:02:14.121000,18.3,49.0,1017.0,False,23.8,33,1.1
64,0 days 01:04:14.121000,18.3,49.0,1017.0,False,23.8,32,1.0
65,0 days 01:05:14.127000,18.3,49.0,1017.0,False,23.7,24,0.9
67,0 days 01:07:14.127000,18.3,50.0,1017.1,False,23.5,40,1.5
69,0 days 01:09:14.126000,18.3,49.0,1017.1,False,23.5,0,0.6
70,0 days 01:10:14.127000,18.3,50.0,1017.1,False,23.5,13,0.5
72,0 days 01:12:14.127000,18.2,50.0,1017.2,False,23.7,126,1.1
74,0 days 01:14:14.130000,18.2,50.0,1017.1,False,23.5,221,0.6
75,0 days 01:15:14.132000,18.2,50.0,1017.2,False,23.5,330,0.5
77,0 days 01:17:14.141000,18.2,50.0,1017.2,False,23.4,155,0.6
79,0 days 01:19:14.137000,18.3,50.0,1017.2,False,23.6,354,0.5
80,0 days 01:20:14.140000,18.3,50.0,1017.2,False,23.5,42,0.4
82,0 days 01:22:14.142000,18.2,50.0,1017.2,False,23.3,0,0.5
84,0 days 01:24:14.131000,18.1,50.0,1017.2,False,23.3,179,0.0
85,0 days 01:25:14.135000,18.1,50.0,1017.2,False,23.2,236,0.4
87,0 days 01:27:14.137000,18.1,51.0,1017.1,False,23.4,178,0.7
89,0 days 01:29:14.144000,18.1,50.0,1017.1,False,23.3,303,0.0
90,0 days 01:30:14.138000,18.1,50.0,1017.1,False,23.3,71,0.5
92,0 days 01:32:14.141000,18.1,50.0,1017.1,False,23.2,27,0.7
93,0 days 01:33:14.145000,18.1,50.0,1017.2,False,23.1,65,0.5
95,0 days 01:35:14.144000,18.1,50.0,1017.2,False,23.2,37,0.5
97,0 days 01:37:14.151000,18.1,50.0,1017.1,False,23.0,338,0.8
98,0 days 01:38:14.153000,18.1,50.0,1017.2,False,23.0,25,0.3
100,0 days 01:40:14.148000,18.1,49.0,1017.1,False,23.0,47,0.7
102,0 days 01:42:14.155000,18.1,49.0,1017.2,False,22.9,29,0.0
103,0 days 01:43:14.147000,18.1,49.0,1017.2,False,22.9,246,0.7
105,0 days 01:45:14.166000,18.1,49.0,1017.3,False,22.8,55,0.6
107,0 days 01:47:14.178000,18.0,49.0,1017.3,False,22.8,45,0.6
109,0 days 01:49:14.206000,18.0,49.0,1017.3,False,22.6,96,0.8
110,0 days 01:50:14.198000,18.0,49.0,1017.3,False,22.7,53,0.5
112,0 days 01:52:14.222000,18.0,49.0,1017.3,False,22.7,82,0.8
113,0 days 01:53:14.241000,18.0,49.0,1017.3,False,22.7,28,0.7
115,0 days 01:55:14.254000,17.9,49.0,1017.3,False,22.7,29,0.0
117,0 days 01:57:14.264000,18.0,49.0,1017.4,False,22.6,132,0.7
118,0 days 01:58:14.274000,18.0,50.0,1017.4,False,22.6,41,0.7
120,0 days 02:00:14.284000,17.9,50.0,1017.4,False,22.5,156,0.4
121,0 days 02:01:14.291000,17.9,50.0,1017.4,False,22.6,66,0.4
123,0 days 02:03:14.291000,17.9,50.0,1017.5,False,22.4,142,0.6
125,0 days 02:05:14.296000,17.9,50.0,1017.4,False,22.4,33,0.4
126,0 days 02:06:14.286000,17.9,50.0,1017.4,False,22.3,81,0.7
128,0 days 02:08:14.284000,17.9,50.0,1017.4,False,22.4,50,0.0
129,0 days 02:09:14.283000,17.9,50.0,1017.4,False,22.2,10,0.5
131,0 days 02:11:14.294000,17.9,50.0,1017.4,False,22.2,1,0.4
133,0 days 02:13:14.314000,17.8,51.0,1017.5,False,22.1,0,0.5
134,0 days 02:14:14.301000,17.8,51.0,1017.5,False,22.0,270,0.0
136,0 days 02:16:14.296000,17.8,51.0,1017.5,False,21.9,0,0.7
138,0 days 02:18:14.299000,17.7,51.0,1017.5,False,22.0,356,0.0
139,0 days 02:19:14.302000,17.7,51.0,1017.4,False,22.0,0,0.4
141,0 days 02:21:14.295000,17.7,51.0,1017.4,False,21.9,0,0.0
142,0 days 02:22:14.301000,17.6,51.0,1017.5,False,22.0,340,0.4
144,0 days 02:24:14.299000,17.6,51.0,1017.5,False,21.9,0,0.4
146,0 days 02:26:14.302000,17.6,51.0,1017.5,False,21.9,330,0.0
147,0 days 02:27:14.309000,17.6,51.0,1017.5,False,21.9,213,0.3
149,0 days 02:29:14.305000,17.6,51.0,1017.5,False,21.9,12,0.0
151,0 days 02:31:14.307000,17.7,51.0,1017.5,False,22.0,96,0.0
60,0 days 01:00:14.115000,18.2,49.0,1017.2,False,23.8,58,1.5
62,0 days 01:02:14.121000,18.3,49.0,1017.0,False,23.8,33,1.1
64,0 days 01:04:14.121000,18.3,49.0,1017.0,False,23.8,32,1.0
65,0 days 01:05:14.127000,18.3,49.0,1017.0,False,23.7,24,0.9
67,0 days 01:07:14.127000,18.3,50.0,1017.1,False,23.5,40,1.5
69,0 days 01:09:14.126000,18.3,49.0,1017.1,False,23.5,0,0.6
70,0 days 01:10:14.127000,18.3,50.0,1017.1,False,23.5,13,0.5
72,0 days 01:12:14.127000,18.2,50.0,1017.2,False,23.7,126,1.1
74,0 days 01:14:14.130000,18.2,50.0,1017.1,False,23.5,221,0.6
75,0 days 01:15:14.132000,18.2,50.0,1017.2,False,23.5,330,0.5
77,0 days 01:17:14.141000,18.2,50.0,1017.2,False,23.4,155,0.6
79,0 days 01:19:14.137000,18.3,50.0,1017.2,False,23.6,354,0.5
81,0 days 01:21:14.145000,18.2,50.0,1017.1,False,23.4,123,1.0
82,0 days 01:22:14.142000,18.2,50.0,1017.2,False,23.3,0,0.5
84,0 days 01:24:14.131000,18.1,50.0,1017.2,False,23.3,179,0.0
85,0 days 01:25:14.135000,18.1,50.0,1017.2,False,23.2,236,0.4
87,0 days 01:27:14.137000,18.1,51.0,1017.1,False,23.4,178,0.7
89,0 days 01:29:14.144000,18.1,50.0,1017.1,False,23.3,303,0.0
90,0 days 01:30:14.138000,18.1,50.0,1017.1,False,23.3,71,0.5
92,0 days 01:32:14.141000,18.1,50.0,1017.1,False,23.2,27,0.7
94,0 days 01:34:14.141000,18.1,50.0,1017.1,False,23.1,94,0.7
95,0 days 01:35:14.144000,18.1,50.0,1017.2,False,23.2,37,0.5
97,0 days 01:37:14.151000,18.1,50.0,1017.1,False,23.0,338,0.8
98,0 days 01:38:14.153000,18.1,50.0,1017.2,False,23.0,25,0.3
100,0 days 01:40:14.148000,18.1,49.0,1017.1,False,23.0,47,0.7
102,0 days 01:42:14.155000,18.1,49.0,1017.2,False,22.9,29,0.0
103,0 days 01:43:14.147000,18.1,49.0,1017.2,False,22.9,246,0.7
105,0 days 01:45:14.166000,18.1,49.0,1017.3,False,22.8,55,0.6
107,0 days 01:47:14.178000,18.0,49.0,1017.3,False,22.8,45,0.6
108,0 days 01:48:14.196000,18.0,49.0,1017.2,False,22.7,28,0.7
110,0 days 01:50:14.198000,18.0,49.0,1017.3,False,22.7,53,0.5
112,0 days 01:52:14.222000,18.0,49.0,1017.3,False,22.7,82,0.8
113,0 days 01:53:14.241000,18.0,49.0,1017.3,False,22.7,28,0.7
115,0 days 01:55:14.254000,17.9,49.0,1017.3,False,22.7,29,0.0
117,0 days 01:57:14.264000,18.0,49.0,1017.4,False,22.6,132,0.7
118,0 days 01:58:14.274000,18.0,50.0,1017.4,False,22.6,41,0.7
120,0 days 02:00:14.284000,17.9,50.0,1017.4,False,22.5,156,0.4
122,0 days 02:02:14.282000,17.9,50.0,1017.4,False,22.6,59,0.8
123,0 days 02:03:14.291000,17.9,50.0,1017.5,False,22.4,142,0.6
125,0 days 02:05:14.296000,17.9,50.0,1017.4,False,22.4,33,0.4
126,0 days 02:06:14.286000,17.9,50.0,1017.4,False,22.3,81,0.7
128,0 days 02:08:14.284000,17.9,50.0,1017.4,False,22.4,50,0.0
130,0 days 02:10:14.288000,17.9,50.0,1017.4,False,22.2,141,0.6
131,0 days 02:11:14.294000,17.9,50.0,1017.4,False,22.2,1,0.4
133,0 days 02:13:14.314000,17.8,51.0,1017.5,False,22.1,0,0.5
134,0 days 02:14:14.301000,17.8,51.0,1017.5,False,22.0,270,0.0
136,0 days 02:16:14.296000,17.8,51.0,1017.5,False,21.9,0,0.7
138,0 days 02:18:14.299000,17.7,51.0,1017.5,False,22.0,356,0.0
139,0 days 02:19:14.302000,17.7,51.0,1017.4,False,22.0,0,0.4
141,0 days 02:21:14.295000,17.7,51.0,1017.4,False,21.9,0,0.0
142,0 days 02:22:14.301000,17.6,51.0,1017.5,False,22.0,340,0.4
144,0 days 02:24:14.299000,17.6,51.0,1017.5,False,21.9,0,0.4
146,0 days 02:26:14.302000,17.6,51.0,1017.5,False,21.9,330,0.0
147,0 days 02:27:14.309000,17.6,51.0,1017.5,False,21.9,213,0.3
149,0 days 02:29:14.305000,17.6,51.0,1017.5,False,21.9,12,0.0
151,0 days 02:31:14.307000,17.7,51.0,1017.5,False,22.0,96,0.0
60,0 days 01:00:14.115000,18.2,49.0,1017.2,False,23.8,58,1.5
62,0 days 01:02:14.121000,18.3,49.0,1017.0,False,23.8,33,1.1
64,0 days 01:04:14.121000,18.3,49.0,1017.0,False,23.8,32,1.0
65,0 days 01:05:14.127000,18.3,49.0,1017.0,False,23.7,24,0.9
67,0 days 01:07:14.127000,18.3,50.0,1017.1,False,23.5,40,1.5
69,0 days 01:09:14.126000,18.3,49.0,1017.1,False,23.5,0,0.6
